date_debut_mesure,code_commune_insee,nom_commune,x,y,hauteur_moyenne,hauteur_actuelle
08/04/1991,1010,Anglefort,5.82327427421463,45.9196304800455,,
23/11/2005,1073,Ceyzerieu,5.74824091305697,45.8281483770952,,
21/10/1998,1173,Gex,6.06971045433496,46.3290304971764,,
31/08/1983,1244,Meximieux,5.22079494499652,45.8957342695518,,
31/10/1995,1288,Peron,5.948977061757,46.2011796846287,,
06/03/2007,1363,Saint-Jean-le-Vieux,5.35663675229116,46.0281018091017,,
20/01/1979,1390,Saint-Vulbas,5.28515582463829,45.8373966492216,,
25/06/1988,1422,Tossiat,5.31335279619436,46.1364022022903,,
19/08/1991,1446,Villeneuve,4.83075421003292,46.018340873965,,
31/01/1974,61456,Saint-Sulpice-sur-Risle,0.658047665214447,48.766362663691,,
01/03/2006,61474,Gouffern en Auge,0.144862591404169,48.8039243913548,,
27/02/1987,61507,Villiers-sous-Mortagne,0.591804056593811,48.5234662878484,,
05/01/1970,62001,Ablain-Saint-Nazaire,2.70310083607612,50.3932663272874,,
14/12/1982,62014,Aire-sur-la-Lys,2.39076424038281,50.6458357282,,
04/05/1971,62055,Audrehem,1.99169089399643,50.781204499076,,
18/11/2004,22261,Quintenic,-2.41825046471856,48.5219161607179,,
01/10/2006,62075,Baincthun,1.69321950046552,50.6834523647138,,
01/01/1961,62082,Barastre,2.9325285469142406,50.077054559061494,,
16/10/1961,62106,Bellonne,3.04217766027306,50.2981362810211,,
20/03/1972,62183,Buire-le-Sec,1.82029926504757,50.3871267443254,,
20/04/1995,62229,Clety,2.19223890438467,50.6553230583115,,
04/01/1970,62245,Coulomby,2.00837164929552,50.70584001369,,
16/02/1973,62297,eperlecques,2.1398613767575,50.8106639858557,,
05/01/1970,62342,Fontaine-les-Boulans,2.27446814219915,50.4991752305351,,
10/01/1970,62392,Guemappe,2.88811465160722,50.2531072105705,,
05/01/1970,62402,Halinghen,1.68073288127182,50.5991284873217,,
17/01/2003,62412,Hardinghen,1.81699953217341,50.8085124040761,,
08/01/1970,62421,Havrincourt,3.0861814711129165,50.11118139716436,,
16/07/2006,62485,Laires,2.25832655330069,50.5446511800528,,
10/01/1970,62498,Lens,2.82201330576808,50.4249671856391,,
23/04/2002,62539,Maisnil,2.35562693537778,50.3547961389937,,
07/09/1970,62545,Maninghem,1.9390917003024,50.5432880694843,,
26/01/1974,62557,Maroeuil,2.71751607123473,50.3310097077981,,
10/01/1970,62563,Mazingarbe,2.72615647047867,50.4794040528532,,
30/03/1957,62622,Nort-Leulinghem,2.09268760201366,50.7979932016752,,
03/01/1970,62639,Oppy,2.88920036038978,50.3481305450287,,
22/01/1970,62657,Pihen-les-Guines,1.81807952482872,50.8670376174067,,
27/11/1963,62670,Preures,1.87279802505088,50.5861046799362,,
22/01/1970,62726,Ruisseauville,2.12431020006408,50.4806615841465,,
06/07/1976,62742,Saint-Aubin,1.6660933394143267,50.456802418423386,,
13/05/1970,62787,Sempy,1.8762960159255,50.5012591626416,,
08/01/1970,62812,Thiembronne,2.03318696083173,50.6320195000403,,
04/01/1970,62820,Tincques,2.4983643043697,50.3569104454394,,
20/05/1972,62844,Verchocq,2.03760191054831,50.5362075557706,,
09/05/1967,62896,Wirwignes,1.74910218121688,50.6903663136139,,
17/06/2008,63071,Ceyssat,2.907787,45.778549,,
25/05/1994,63092,Charbonnieres-les-Varennes,2.972177,45.892458,,
08/11/2006,63131,Culhat,3.32735484421557,45.869301968807,,
13/06/2006,63136,Domaize,3.53053781822971,45.6772708968617,,
14/05/2008,63153,Espinchal,2.87931,45.396628,,
14/11/2006,63180,Joze,3.31961702274685,45.8752271878489,,
07/01/2008,63192,La Tour-dAuvergne,2.74418821010557,45.5547436678798,,
10/10/1996,63214,Les Martres-de-Veyre,3.21505013479425,45.7094256589634,,
26/02/2008,63264,Orcival,2.83720781651672,45.6691820738806,,
25/05/1994,63381,Saint-Ours,2.96159834528829,45.8611027244586,,
25/05/1995,63470,Volvic,2.98107237752002,45.8745785980176,,
28/04/2002,64067,Assat,-0.306335811418666,43.2476162112828,,
19/05/2002,64082,Auterrive,-0.994064674539796,43.4668296650381,,
17/01/2002,64091,Baliros,-0.296735315917403,43.2300908833526,,
06/12/2001,64191,Coarraze,-0.218586234105959,43.1540044045319,,
01/08/1993,64307,Lalongue,-0.202639255822808,43.4760410210789,,
05/03/1997,64311,Lannecaube,-0.205881589207837,43.4854239294021,,
06/03/2004,64409,Moumour,-0.650970167345321,43.2010221190098,,
06/07/1972,64524,Simacourbe,-0.137076901104452,43.454531789182,,
09/10/1973,65243,Lafitole,0.0780939026620442,43.4554369944936,,
02/01/2002,65251,Laloubere,0.07620102828422,43.2068133415589,,
09/02/2005,65394,Saint-Paul,0.50012410774301,43.0781912552357,,
17/12/1971,65418,Senac,0.167704895039735,43.3632776716389,,
05/03/1996,66002,Alenya,2.9816734125982545,42.63979403206957,,
04/07/2001,66014,Baixas,2.82655721524998,42.7649925842849,,
07/12/2000,66017,Le Barcares,3.03149786989403,42.8148699546754,,
01/04/1980,66021,Bompas,2.93774389982175,42.7204910318989,,
05/09/1988,66037,Canet-en-Roussillon,3.03793847185778,42.7078462541915,,
12/04/2000,66059,Corneilla-del-Vercol,2.93693047851517,42.6183845523485,,
09/12/2004,66071,Estagel,2.71759203244941,42.7795458309098,,
28/06/2012,66105,Matemale,2.1187152780447085,42.58678334998444,,
14/04/2000,66108,Millas,2.6853782833472,42.6856963885401,,
27/06/2012,66124,Font-Romeu-Odeillo-Via,2.033499,42.489388,,
